,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.046,1695.7911,0.0012,7.0159,1591.7354,-38.5023,0.038228,-0.071709,-0.301975,0.347631,0.395223,0.291092,0.234524,0.122393,0.313153,-0.048425
1,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.09873058911187502,-0.295202,0.476687,0.300739,0.22614471000000005,0.360363,0.255545,-0.7371658582200005,0.489675,0.138778
2,0.1428,55.6415,0.008,99.7193,43.6951,-18.0717,-0.050404585105634,0.202018,-0.080163,0.335871,0.206401,0.273575,0.222885,-0.7155952893098322,0.397591,0.17188
3,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.053272,-0.336265,0.061111,0.383901,0.212703,0.26276,0.222701,0.437738,0.434474,0.018598
4,0.0464,102.5253,0.0046,15.6906,116.0964,10.4649,-0.324684,-2.171449145258977e-19,0.353658,0.290325,0.269791,0.20996702469000003,0.34636,-0.066341,-1.0265564268167761e-37,0.320861
5,0.0988,133.2377,0.0066,22.9717,148.1283,15.2083,-0.09083936466234345,0.220176,-0.194764,0.294186,0.213491,0.249123,0.254404,-0.8916712169952967,0.26516,0.410927
6,0.0876,2478.284,0.0027,4.3078,2113.9623,-32.3193,-0.301537,1.0443775667094854,-0.228478,0.377715,0.313193,0.220976667,0.351873,-0.335981,-3.885666091675476e-05,0.28606
7,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.383487,-0.274142,-0.39979,0.338943,0.338279,0.39484,0.309213,0.476154,0.090917,0.213463
8,0.047,196.9012,0.0018,38.7948,189.7222,-27.0807,-0.036214,0.09649199125125,-0.458701,0.33252,0.25917165000000003,0.3529089,0.237112,-0.02627,0.21910183295000007,0.242678
9,0.1475,81.0208,0.0135,23.4343,85.8075,11.0325,0.109444,-0.008682,0.315635,0.233114,0.290801,0.238012,0.265284,0.352941,0.228436,0.404979
10,0.2232,815.3913,0.0132,2.8567,1406.3791,17.0526,-0.15891,0.249164,-0.155674,0.317653,0.246439,0.268795,0.285376,0.180254,0.279434,0.278008
11,0.126,1152.1948,0.0044,4.8433,1690.6725,29.5654,-0.090202,0.0756320400297886,0.395112,0.393081,0.399178,0.21697909344000002,0.325636,-0.085223,-0.10764914754787909,0.08609
12,0.1893,44.0836,0.0189,27.6221,66.432,10.505,0.190902,-0.20482277027625,-0.293905,0.25049,0.31707,0.26839917,0.275051,-0.145468,-0.28341630432000003,0.210857
13,0.1673,36.8169,0.0162,36.5618,47.8713,10.2508,-0.370009,-0.383283,-0.019705,0.27153,0.373705,0.3849,0.316576,0.038573,0.141302,-0.222128
14,0.1471,63.7736,0.0114,37.7999,76.8441,13.7141,0.02475979329685488,0.437462,0.285014,0.237703,0.21794985899999997,0.244491,0.357303,-0.8701027301956918,0.320995,0.402126
15,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.347536,-0.02905,0.226497,0.274486,0.351726,0.360764,0.255186,0.408241,-0.024491,-0.246592
16,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.10257074682673707,0.486017,-0.297349,0.216617,0.20955323700000006,0.239611,0.233586,0.23553588913493445,0.400433,0.418226
17,0.181,1273.5936,0.0068,3.5786,2022.2118,26.71,-0.32876269999999996,0.21257037943059523,-0.116145,0.308176,0.290934,0.21601128033000003,0.390996,-0.30523716,-0.20519683153164003,-0.103116
18,0.0448,13338.5783,0.0006,1.9068,10769.0586,-66.6018,0.4676052543750001,0.072278,0.319589,0.377607,0.360483,0.265628,0.291413,0.31743551400000014,0.367462,0.425453
19,0.0,100000.0,0.0,0.0,100000.0,0.0,0.25483815,-0.26773,0.029696,0.294713,0.24224669999999998,0.205611,0.286482,0.30297300000000005,0.489284,0.148058
20,0.0934,60.8221,0.0081,36.31,55.547,-11.0507,0.94097694613425,-0.446129,-0.4004379,0.228677,0.21707652429000004,0.39838,0.28107719999999997,-0.6960715714624084,0.390065,-0.151848
21,0.1369,129.3179,0.0101,26.9402,110.0382,-13.8933,-0.276069,-0.167085,0.382713,0.303073,0.315219,0.262331,0.377986,0.096453,0.250578,-0.426637
22,0.1423,231.4711,0.0098,13.0657,244.301,14.5759,0.132988,1.1119120764672874,-0.145703,0.304491,0.261817,0.217367,0.272552,0.235127,-0.020590574793757144,0.449376
23,0.0483,269.0622,0.0017,24.2955,323.6019,-28.5862,0.021395341012500006,-0.33905,-0.025332,0.313323,0.21996700200000005,0.24098,0.286776,-0.7159244026000002,0.464527,-0.033448
24,0.0,100000.0,0.0,0.0,100000.0,0.0,0.39287,0.283644,-0.30868371,0.207508,0.278804,0.354791,0.24465420000000002,0.435022,-0.252259,-0.28680075
25,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.198716,-0.313602,-0.058716,0.316802,0.386529,0.396022,0.264417,0.323815,0.082347,0.067163
26,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.309524,4.613261531854381e-19,0.358411,0.339673,0.254994,0.21863439000000004,0.342063,0.206519,-1.4427886945481178e-37,0.454845
27,0.1501,118.8156,0.0142,15.8636,130.7165,11.2209,-0.075382,0.238874,-0.189592,0.270256,0.355864,0.256939,0.201576,0.385815,-0.164004,-0.357501
28,0.1747,128.3503,0.0157,14.2519,140.9938,-11.0283,0.5325035243374201,-0.215938,-0.12012,0.24971,0.21931651530000004,0.372502,0.375156,-0.9888381866640742,0.426553,-0.074186
29,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.073828,1.0211103378242874,-0.178441,0.265103,0.286924,0.21937116843,0.342171,0.254399,-0.00026565125852468836,0.230726
30,0.0,100000.0,0.0,0.0,100000.0,0.0,0.269537,-0.02886,0.35494,0.371967,0.2812,0.291734,0.235952,0.35494,0.295801,0.1878
31,0.0,100000.0,0.0,0.0,100000.0,0.0,0.074877,0.153246,-0.083343,0.334463,0.220736,0.278368,0.282662,-0.33272,0.434461,-0.145744
32,0.0951,115.7326,0.0064,23.4301,153.6506,15.8001,0.5133008535155158,-0.014940948985550847,0.089327,0.248561,0.25563551399999995,0.2126151,0.329166,-0.167732345538,-0.00016109754501484697,0.485797
33,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.056109,0.156143,0.049837,0.334187,0.350629,0.277822,0.365783,0.097917,-0.293684,-0.059052
34,0.3113,20.1062,0.0321,258.5283,6.5402,10.0725,0.204856,0.4480284375,0.154379,0.320143,0.289032,0.21811165325999998,0.397299,-0.351898,-0.39903921000000003,-0.284561
