,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0494,332.9252,0.0028,14.3614,294.6241,17.6936,-0.007125,0.233295,-0.336617,0.215772,0.317869,0.20937,0.3253158,0.394296,-0.034271,-0.175441
1,0.1346,138.6491,0.0082,34.9072,112.4673,-16.7778,-0.294471,0.107836,0.115661,0.308231,0.29045,0.271733,0.345778,0.405728,-0.273093,-0.334115
2,0.2559,40.9209,0.0252,27.6901,65.34,10.4278,-0.256629,0.8236345745245087,-0.074861,0.276593,0.288522,0.21831,0.216656,-0.328557,-0.12484399434496167,0.08053
3,0.1289,196.5307,0.0101,13.7057,195.4736,-13.0373,0.338148,0.2808,-0.080309,0.278289,0.333733,0.217716,0.371663,-0.151945,0.299739,0.155057
4,0.1898,385.9762,0.0136,7.2594,403.8229,13.7946,0.164045,0.037977,-0.200803,0.254119,0.362616,0.297097,0.230367,-0.250382,-0.202408,0.043215
5,0.1434,29.9475,0.0127,101.4906,20.568,11.2624,0.28786905,-3.8853859058546924e-19,0.311595,0.261862,0.25284854700000003,0.2183643,0.34026,-0.2999511,-8.656345764290245e-38,0.423846
6,0.0,100000.0,0.0,0.0,100000.0,0.0,0.6558604129781467,-0.335394,-0.165444,0.353952,0.21990503700000003,0.211823,0.3495,-0.8374411093439958,0.352715,-0.025342
7,0.1457,40.9321,0.0142,54.2111,32.0729,10.2161,-0.376925515,-0.041013979085699315,0.159729,0.268382,0.28423637100000004,0.22337410014000003,0.222616,-0.30384477,-0.11022496140649313,0.383372
8,0.0926,34.7041,0.0087,47.4147,37.6095,10.3497,0.433341,0.365656,0.298211,0.221557,0.200282,0.22387,0.235942,0.208327,0.150365,-0.094024
9,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.133457,-0.048148,-0.25951266000000006,0.226842,0.375347,0.358196,0.21004020900000003,-0.338566,-0.386435,-0.36541044000000006
10,0.035,437.3557,0.0013,19.2694,397.2726,27.9656,0.176432,0.48518505000000006,0.055295,0.332551,0.345744,0.28041147000000005,0.399044,0.233506,0.2449821,0.210302
11,0.0822,1878.261,0.0026,4.0849,2114.4568,-30.9121,0.013006,-0.310425,0.454652,0.304848,0.388091,0.293618,0.327496,0.086369,0.078144,0.013711
12,0.0,100000.0,0.0,0.0,100000.0,0.0,0.40102808744250007,-2.1166389647977576e-19,0.424318,0.220605,0.22664384010000005,0.21508270200000007,0.29855,-0.24739464285,-1.0241514618044888e-37,0.345151
