,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.1357,2394.5923,0.0043,2.8047,3336.5771,33.0747,0.229957,0.467801,0.164605,0.370872,0.3581487,0.270357,0.297573,-0.088901,0.033245,0.008926
1,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.092839,-0.148942,-0.471661,0.256142,0.264298,0.307209,0.2448,-0.438905,0.438715,0.063855
2,0.0,100000.0,0.0,0.0,100000.0,0.0,0.355016,-0.26308159999999997,0.417394,0.335783,0.34494210000000003,0.21119454000000001,0.297567,0.175733,0.23917190000000002,0.331955
3,0.0475,443.2202,0.0021,13.9288,425.3046,-22.7719,0.337265,0.196603,0.393481,0.281795,0.269108,0.285623,0.321077,0.094221,0.343106,-0.36105
4,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.15247995,-0.483887,-0.155979,0.399093,0.213845,0.265532,0.254094,-0.31012740000000005,0.185285,0.082832
5,0.1814,54.5215,0.0129,47.2709,60.4721,-13.5757,-0.116938,0.120408,-0.320383,0.35637,0.28985760000000005,0.21059,0.254987,-0.409853,0.160464,0.243949
6,0.0882,1205.7846,0.0033,8.2894,885.3929,-27.0183,0.28323015,-0.06246,-0.353825,0.364846,0.310235,0.369449,0.394025,-0.3609122,0.371169,0.262291
7,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.024337,0.318363,-0.098382,0.358069,0.330536,0.263298,0.270936,-0.043192,-0.141835,-0.282194
8,0.1711,83.9415,0.0106,28.2108,137.6946,-16.6534,-0.457956,-0.167612,0.283483,0.376782,0.241475,0.330526,0.336414,0.203787,0.271167,0.09901
9,0.1341,799.3244,0.0043,8.6684,1014.8705,-31.3918,-0.13113,1.1160771775856433,-0.213392,0.274409,0.243659,0.2252693106,0.390753,-0.239566,-0.008866254396506722,0.267431
10,0.1397,339.8231,0.0108,7.8705,329.7818,-12.7866,0.000878,0.31483,0.266062,0.323184,0.2163204,0.326823,0.227855,-0.2232,0.068783,0.005501
11,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.0290035,0.436479,-0.009985,0.221936,0.393068,0.347542,0.20844,0.4466572000000001,0.324008,0.168658
12,0.0,100000.0,0.0,0.0,100000.0,0.0,0.159137,0.015335,0.394376,0.243079,0.2229966,0.26695,0.30539,-0.473865,0.388112,-0.319748
13,0.1971,188.9459,0.0132,19.9887,170.1747,15.2047,-0.27674,-0.13882881897649796,0.395052,0.264093,0.270626,0.2748796560000001,0.25386,0.360716,0.3977975652101552,0.497313
14,0.0,100000.0,0.0,0.0,100000.0,0.0,0.495889,-0.031129115062500008,-0.090474,0.308232,0.224349,0.286607808,0.262488,-0.267415,-0.32432728860000004,0.461012
15,0.0476,588.1922,0.0024,9.0379,540.922,-19.6664,-0.19955,0.346533,-0.096071,0.291822,0.3532941,0.263092,0.258985,0.239845,0.220304,-0.107062
16,0.0,100000.0,0.0,0.0,100000.0,0.0,0.180259,-0.456766,0.169389,0.209546,0.323021,0.255308,0.389083,0.27587,-0.057868,-0.382721
17,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.001794,-0.201616,-0.310373,0.370659,0.26127269999999997,0.398476,0.23778,0.073358,0.457485,0.485474
18,0.1828,71.0883,0.018,20.3358,90.363,10.5128,-0.269611,-0.119034,-0.16038,0.269313,0.334573,0.215449,0.276331,0.043379,-0.160158,0.366877
19,0.0448,257.859,0.0041,7.8744,245.6587,10.8032,-0.313461,-0.2078735420982365,-0.069852,0.396301,0.389528,0.22636,0.257979,0.034948,-0.043389690715290516,0.497347
20,0.0,100000.0,0.0,0.0,100000.0,0.0,0.495292,0.214703,0.254269,0.205078,0.2709288,0.330625,0.349315,-0.032394,0.484094,0.23454
21,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.436904,-0.30618975849370345,-0.043063,0.275997,0.215394,0.20776325040000002,0.218902,-0.045116,-0.11103772541787,0.306777
22,0.0848,567.3715,0.0061,5.2782,552.5478,-13.7493,0.36788955,-0.227146,-0.386209,0.266212,0.264263,0.236538,0.389364,-0.12490830000000001,0.311252,0.118764
23,0.0943,1088.9143,0.0029,7.585,1173.1009,-31.694,0.46141515,0.130945,0.368253,0.341808,0.256799,0.262894,0.394202,0.2592161,0.47445,-0.339459
24,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.417113,0.47814,0.073954,0.335462,0.32921100000000003,0.343509,0.337587,0.334986,0.469238,0.272713
25,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.448689,-0.325454,-0.2403801,0.222336,0.224545,0.318113,0.23998752900000003,-0.23187,-0.442791,-0.3795291
26,0.0,100000.0,0.0,0.0,100000.0,0.0,0.483388,0.088772,0.403693,0.203382,0.213986,0.203244,0.223903,-0.403184,-0.163929,0.023582
27,0.0461,46.7131,0.0047,33.9612,50.8203,-10.1778,0.430776,-0.03831151915559374,0.284418,0.232007,0.278341,0.20724309432000004,0.35839,-0.302851,-0.197358586965,-0.055624
28,0.0,100000.0,0.0,0.0,100000.0,0.0,0.228087,-0.360879,0.3811,0.368166,0.201092,0.350217,0.378056,0.055701,-0.037662,-0.168645
29,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.45501769999999997,-0.26149,0.238564,0.232378,0.207525,0.335821,0.23038,-0.4335628,0.486299,0.189719
30,0.0429,30.4884,0.0026,83.6159,42.1221,15.5662,-0.132431,-0.224448,-0.212755,0.242931,0.291917,0.298339,0.276565,0.057386,-0.46414,0.309027
31,0.0944,602.6958,0.0037,10.3987,666.2121,25.7833,-0.032648,0.10448,-0.187783,0.217606,0.396034,0.297623,0.25007697,0.318493,0.463688,-0.436872
32,0.0815,399.5043,0.0067,6.0433,393.7187,-12.138,-0.103822,0.018659,0.257261,0.367209,0.3353796,0.331868,0.307046,-0.277095,0.165071,0.033057
33,0.0,100000.0,0.0,0.0,100000.0,0.0,0.421495,1.3773789090611914,0.188895,0.289829,0.215482,0.22315491900000003,0.289494,0.323176,-0.0023990555419800192,0.283323
34,0.0939,101.0537,0.0074,31.2235,83.0937,-12.7834,-0.006543,-0.473084,0.000896,0.254509,0.235394,0.262909,0.38623,0.104453,0.024661,0.01253
35,0.0,100000.0,0.0,0.0,100000.0,0.0,0.2064179,0.5458148871435496,-0.403204,0.387778,0.359292,0.22046928300000002,0.278715,-0.132803,0.21366007104794016,0.37258
36,0.0961,539.3856,0.0038,15.1572,470.2146,-26.3814,0.00289,-0.489096,0.014054,0.334294,0.310215,0.273899,0.32515,0.296939,0.293667,-0.1059
37,0.3792,97.9531,0.037,13.4759,140.7497,10.6902,0.269219,1.0172580223714849,-0.302188,0.266109,0.356134,0.21120587271000008,0.307885,0.391173,-0.005140613528387586,0.481911
38,0.0,100000.0,0.0,0.0,100000.0,0.0,0.485279,0.460134,-0.2091636,0.200777,0.311518,0.28032,0.397534,0.167071,0.244903,-0.1966023
39,0.0954,614.9779,0.0045,7.9408,661.1473,-20.7501,-0.140718,0.36302679000000004,-0.026537,0.356205,0.307329,0.2348595243,0.334919,0.437308,-0.02027268,0.085522
40,0.0421,398.8104,0.004,4.4554,455.5421,11.0889,-0.219678,0.440294,0.404283,0.293946,0.399118,0.361546,0.261326,0.250916,-0.107792,-0.057598
41,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.473394,-0.1623375537725135,-0.053097,0.379156,0.204033,0.222034,0.350058,0.114997,-0.030093066904883337,0.367341
42,0.0899,345.1833,0.0049,15.0926,308.2932,-18.9589,-0.082029,-0.1948836524125,-0.025983,0.37375,0.363182,0.22465900638000008,0.242895,0.38317,-0.11097931500000001,0.364707
43,0.0866,1000.9421,0.0041,5.2966,1095.7445,22.4112,-0.064844,0.20418,0.249501,0.307257,0.344337,0.333263,0.208724,0.451555,0.232349,-0.037824
44,0.1,189.2104,0.0075,17.8291,162.343,-13.6833,0.038998,0.073698,-0.23139990900000004,0.28039,0.321898,0.218749,0.22742532000000004,-0.163638,0.164445,-0.283717323
45,0.2159,44.8827,0.02,27.7074,64.7391,10.3813,-0.344105,-0.0279569963510333,0.39254,0.377414,0.3240576,0.20850005070000002,0.27089,-0.231365,-0.03652716553104949,0.162177
46,0.0478,59.6827,0.0021,102.4407,61.9675,-24.044,-0.484429,-0.368334,-0.371829,0.300733,0.232837,0.212851,0.279216,-0.292208,0.003103,0.365014
47,0.0,100000.0,0.0,0.0,100000.0,0.0,0.155874,-0.340955,-0.424513,0.230061,0.252539,0.309681,0.258457,0.371063,0.306458,-0.071961
48,0.0,100000.0,0.0,0.0,100000.0,0.0,0.14893725,-0.17103578449664977,0.250516,0.279941,0.246176,0.22419960516,0.292197,-0.516835,0.25394966808714303,0.393308
49,0.1294,60.293,0.0099,45.7264,60.5726,-13.3093,0.27579164999999994,0.478063,0.376978,0.359571,0.392478,0.262994,0.283867,-0.4473495,-0.266982,-0.049427
50,0.0884,917.439,0.0035,8.377,800.8402,-25.1259,0.52301235,-0.425736,0.256589,0.351689,0.334848,0.275471,0.341986,0.12216710000000001,0.142098,-0.427204
51,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.438688,-0.17563,-0.24287850000000002,0.376852,0.2475207,0.332443,0.223253,0.016198,0.387844,-0.1528407
52,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.2042367,0.7030900894899164,-0.059149,0.38686,0.376706,0.2138976,0.360767,-0.10791000000000002,0.1566281369125001,0.185129
53,0.1912,671.929,0.0109,7.4687,581.7063,18.0338,0.39853905,0.178923,-0.218435,0.212435,0.34157,0.339729,0.258686,-0.15928110000000004,0.487781,-0.011267
54,0.0,100000.0,0.0,0.0,100000.0,0.0,0.08634,-0.06460279442257895,0.032973,0.228956,0.342798,0.20866590000000002,0.36462,0.077786,-0.01837008341663041,0.396258
55,0.0,100000.0,0.0,0.0,100000.0,0.0,0.103022,0.24444,-0.23843070000000002,0.329933,0.284101,0.27794,0.210844965222,-0.148816,0.163318,-0.2515914
56,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.465931,0.482128,-0.17307837,0.326233,0.309081,0.208387,0.3271572,0.120735,0.223449,-0.17194031999999998
57,0.0,100000.0,0.0,0.0,100000.0,0.0,0.2888949,0.114775,0.440092,0.397955,0.317672,0.350086,0.363283,-0.0345895,0.216905,-0.332333
58,0.0502,1152.5013,0.0012,10.9135,1186.034,-43.8313,-0.327479,-0.094462,-0.39391839,0.274723,0.333387,0.2067,0.21210299999999999,-0.170587,0.086592,-0.18013266
59,0.049,2383.1986,0.001,6.5837,2126.6277,-47.0034,0.19707,-0.1228917889034867,-0.478657,0.24542,0.3204108,0.2191419927,0.256319,-0.002265,0.1610049555191001,0.403665
60,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.376826,0.117623,-0.28017171,0.290087,0.327382,0.345697,0.22727158200000003,0.387823,-0.029992,-0.26032671
61,0.0,100000.0,0.0,0.0,100000.0,0.0,0.160752,0.148362,-0.24950302020000004,0.290314,0.303335,0.259658,0.2138112,0.484786,0.307045,-0.28367073989999997
62,0.0487,45.7364,0.005,30.8759,56.2364,10.2091,0.29151794999999997,1.240580973533668,0.121517,0.212651,0.224837,0.210317,0.392255,-0.0158686,0.2099440970650369,0.297012
63,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.433204,0.158794,0.032586,0.250885,0.35971,0.288536,0.343157,0.374691,0.075403,-0.32479
64,0.0,100000.0,0.0,0.0,100000.0,0.0,0.337305,-0.030924723549246122,0.288152,0.387137,0.22822,0.2107836,0.326047,0.354445,-0.07473992383541135,0.124389
65,0.0482,49.9312,0.005,30.5588,56.5205,10.1816,0.180571,0.153227,0.226248,0.272559,0.229549,0.241303,0.212118,0.349487,-0.019239,0.168503
66,0.0936,11930.5504,0.0021,0.9057,14658.5537,44.8267,-0.374153,-0.40777,0.221528,0.300512,0.390767,0.280305,0.254429,0.21576,0.419171,0.362412
67,0.0,100000.0,0.0,0.0,100000.0,0.0,0.152371,-0.21659281972075603,0.489148,0.384927,0.283614,0.21202724430000003,0.301748,-0.216956,-0.08587883832573487,0.007204
68,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.337582,-0.26189,0.486036,0.306758,0.205231,0.206276,0.295919,-0.212191,0.402347,-0.297978
69,0.0487,37.4729,0.0034,86.1501,37.3118,-14.6432,-0.297721,-0.350052,-0.406294,0.231088,0.355802,0.260312,0.215047,-0.250052,-0.479468,-0.228706
70,0.0988,1447.1145,0.0029,6.1611,1536.5014,-33.3998,-0.285697,0.0067846348956854185,0.280691,0.303281,0.233746,0.21266891010000002,0.332149,0.403733,-0.07369938704295904,0.149746
71,0.089,37.2014,0.0086,43.9616,42.8986,10.6577,0.025099,-0.423267085,-0.333859,0.324116,0.257669,0.217442,0.317217,0.269693,-0.07124112,0.425011
72,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.18406,-0.36073458385396867,-0.096657,0.239745,0.290551,0.22550550660000007,0.324773,0.270425,-0.175387221702,0.035701
73,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.149177,0.010453,-0.288576,0.206148,0.33266880000000004,0.254894,0.360439,0.072088,0.350686,0.299809
74,0.1698,206.6182,0.0116,19.1263,173.4767,14.9539,0.18323694999999998,0.9240872138726673,-0.04561,0.33886,0.292749,0.22741920000000002,0.337473,-0.12276440000000001,0.3202558322301393,0.3866
75,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.115732,0.025851,0.025841,0.205443,0.25178849999999997,0.343276,0.318997,-0.159187,0.26343,-0.005221
76,0.0491,8625.9129,0.0008,2.2514,8964.3171,-65.5462,0.311106,-0.31653341887499997,0.010253,0.222657,0.393379,0.2463327,0.27242,0.182738,-0.30339769860000004,-0.098536
77,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.412049,-1.9371548195834133e-19,0.486326,0.358899,0.282429,0.22782627,0.20274,0.093563,-9.844039491469172e-38,0.456385
78,0.047,491.0322,0.0027,9.8237,435.7331,-17.8416,0.44179905,0.316728,0.404887,0.278067,0.24863,0.267817,0.317235,-0.46668930000000003,0.234202,0.150193
79,0.1507,20838.0129,0.0013,1.352,26007.6359,110.4901,0.379579,0.189895,0.478847,0.342914,0.358992,0.355922,0.333889,-0.140188,-0.152884,-0.231015
80,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.067211,-0.049138,0.215124,0.248831,0.271305,0.206277,0.224651,0.452474,0.088007,0.14241
81,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.217022,-0.3904314275,0.035263,0.375484,0.204028,0.27684099,0.316494,-0.029858,-0.27743796,-0.217606
82,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.18207985,0.298166,-0.324776,0.214748,0.300547,0.261947,0.203105,-0.39309930000000004,0.223013,-0.207407
83,0.0,100000.0,0.0,0.0,100000.0,0.0,0.144891,0.027136298581875003,-0.281509,0.242491,0.299282,0.31469391,0.399541,0.04998,0.3394713503500002,0.311582
84,0.044,415.2995,0.003,8.4259,392.1069,-14.9115,-0.416735,0.068944,0.288979,0.22759,0.2830113,0.299835,0.27274,-0.294777,0.131891,0.054128
