,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.1901,250.9026,0.012,24.3161,158.2488,-16.544,0.315579,0.340716,0.155565,0.33721,0.347659,0.3442851,0.243937,0.422784,-0.48636,-0.26184
1,0.0465,1145.525,0.0014,9.6296,925.7802,-31.7446,0.15101,0.5440235535,0.257705,0.255026,0.310594,0.22675229343000003,0.373613,0.271709,-0.3552067080000001,-0.231725
2,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.107862,0.191212,-0.11574989100000001,0.361735,0.2707695,0.342847,0.248198256,-0.491246,0.343878,-0.28732077
3,0.0855,321.5882,0.008,5.0738,381.2624,10.8033,-0.032207,-0.207253,0.071145,0.375677,0.26978,0.244702,0.306554,0.198113,0.310492,0.364355
4,0.0,100000.0,0.0,0.0,100000.0,0.0,0.087848,0.490449,0.085224,0.38551,0.228293,0.303214,0.234857,0.292592,-0.453922,-0.383698
5,0.1017,321.2645,0.0032,23.3126,380.7569,31.6292,0.109931,0.5248082547815626,-0.348904,0.212841,0.280433,0.289327707,0.215789,0.460827,-0.26046513900000007,-0.16403
6,0.0442,56.2935,0.0042,30.5008,57.0643,10.2215,0.36308055000000006,-0.16717067053751178,0.185995,0.328988,0.369228,0.20752443000000004,0.285549,-0.37188360000000004,0.1741472985132101,0.383247
7,0.0916,178.1778,0.0091,9.8074,171.4496,10.0444,-0.294605,-0.092405,0.25222,0.227932,0.258942,0.320075,0.268212,0.354795,0.160616,-0.070928
8,0.0473,21.0068,0.0036,98.138,26.9803,12.9434,-0.349485,0.4211507057533077,-0.442112,0.214912,0.311914,0.22778172000000002,0.237837,-0.042137,-0.11966330253635914,0.030488
9,0.0836,34149.3489,0.0007,1.1318,33253.7629,117.9075,-0.201055,-0.376019,0.264838,0.270058,0.381412,0.378836,0.384204,0.315251,0.280943,-0.371004
10,0.2203,473.594,0.0158,5.4037,574.911,14.3199,-0.040543,0.0338086,0.189738,0.332729,0.324972,0.31378860000000003,0.294929,-0.228629,-0.3555702,-0.141977
11,0.2787,86.1636,0.0276,16.6282,103.7769,10.1769,-0.015248,-1.6279927672214299e-19,0.255871,0.304188,0.329522,0.21571387020000007,0.332301,-0.19739,-1.3916474099816601e-37,0.357145
12,0.0,100000.0,0.0,0.0,100000.0,0.0,0.148609,0.332266,0.411203,0.39379,0.252596,0.282123,0.20375,0.263567,-0.463236,-0.08293
13,0.0,100000.0,0.0,0.0,100000.0,0.0,0.281664,0.379887,-0.485866,0.228801,0.26011,0.23825,0.227724,0.362029,0.364862,0.105375
14,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.241798,-0.165643,0.042781,0.379472,0.308332,0.243545,0.260152,-0.007885,-0.489964,-0.225564
15,0.1423,399.8926,0.0079,12.3421,358.6856,-18.2808,-0.24186,-0.439434,-0.28669,0.245845,0.372482,0.288465,0.255101,0.277658,0.384914,-0.192716
16,0.0424,267.9508,0.0032,10.3458,278.5709,-13.6462,0.463769,0.051224,-0.001284,0.266683,0.2646117,0.395172,0.282511,-0.023735,0.38687,0.052454
17,0.0816,1618.2323,0.0024,6.9448,1404.4966,-34.2617,0.175882,0.198834,-0.363303,0.36011,0.354938,0.39378,0.301817,0.1003,0.161677,0.013391
18,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.243431,0.114692,-0.334516959,0.288475,0.241087,0.288406,0.20998190503800002,-0.026137,-0.322423,-0.23679450900000004
19,0.0,100000.0,0.0,0.0,100000.0,0.0,0.037909,-0.171125,0.245063,0.380144,0.292176,0.384019,0.32234,0.266424,0.019752,-0.237642
20,0.0919,217.6733,0.0056,19.6561,191.9123,-16.3167,-0.322116,0.387546,0.385592,0.342943,0.233806,0.297442,0.205994,0.022531,-0.144754,-0.354961
21,0.0,100000.0,0.0,0.0,100000.0,0.0,0.056498,1.4378019152517656e-19,0.467705,0.367412,0.371935,0.229946,0.364968,0.242363,-2.483113755630886e-38,0.301198
