,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.364288,0.27846,-0.159789,0.315579,0.3323565,0.311963,0.308879,0.173274,0.419291,0.257569
1,0.0,100000.0,0.0,0.0,100000.0,0.0,0.289502,0.9968020618936002,-0.150002,0.372294,0.238399,0.2292633,0.247005,0.330189,-0.0046042378379668875,0.317569
2,0.1842,57.0477,0.0153,58.2192,42.4433,-12.413,0.0306201,-0.277045,-0.12944205,0.343803,0.213464,0.364335,0.221969,-0.4104081,-0.242805,-0.35167932
3,0.0,100000.0,0.0,0.0,100000.0,0.0,0.299278,-0.069683,-0.11807640000000001,0.208871,0.354702,0.309698,0.339079,0.042851,-0.458815,-0.4217634
4,0.0442,117.6213,0.0043,14.581,128.3019,-10.6123,-0.069708,0.239602,-0.030163,0.321432,0.227303,0.277049,0.370907,-0.072356,0.160841,0.244497
5,0.1319,503.0676,0.0082,6.9252,513.1794,15.6616,0.370774,0.286841,0.449297,0.379526,0.236324,0.248578,0.360525,0.218575,0.2322,0.241513
6,0.1679,187.2177,0.0141,12.3761,182.5352,-11.7772,0.49028805000000003,-0.105244,0.059852,0.365258,0.373066,0.208371,0.341802,-0.2810412,-0.208853,0.094246
7,0.0973,12.2941,0.0073,201.4972,14.176,-13.5693,-0.255274,-0.286989,0.292964,0.230563,0.293113,0.25347,0.20386,-0.489206,-0.189169,-0.301198
8,0.0459,172.6685,0.0034,17.285,171.1279,-13.8738,-0.0521341,0.359292,0.220807,0.21047,0.300799,0.262201,0.348543,-0.21114280000000002,0.423618,0.080552
9,0.0,100000.0,0.0,0.0,100000.0,0.0,0.318861,0.229545,0.461793,0.378482,0.217825,0.276824,0.239371,-0.161922,0.43196,0.01757
