,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.354051,0.2,0.2,0.2,0.0,0.0,0.0
1,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.398429,0.2,0.2,0.2,0.0,0.0,0.0
2,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.286759,0.2,0.2,0.2,0.0,0.0,0.0
3,0.0507,4.1354,0.0045,144.5332,5.4985,11.7538,0.0,0.0,0.0,0.258494,0.2,0.2,0.2,0.0,0.0,0.0
4,0.1012,4.0276,0.0092,670.8248,2.9404,10.9175,0.0,0.0,0.0,0.245546,0.2,0.2,0.2,0.0,0.0,0.0
5,0.101,4.4312,0.0089,643.553,3.26,11.2939,0.0,0.0,0.0,0.223136,0.2,0.2,0.2,0.0,0.0,0.0
6,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.30355,0.2,0.2,0.2,0.0,0.0,0.0
7,0.1011,4.1676,0.0091,662.1876,3.0553,11.0696,0.0,0.0,0.0,0.236694,0.2,0.2,0.2,0.0,0.0,0.0
8,0.0506,5.1181,0.0041,139.8037,6.5892,12.8603,0.0,0.0,0.0,0.205064,0.2,0.2,0.2,0.0,0.0,0.0
9,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.318506,0.2,0.2,0.2,0.0,0.0,0.0
10,0.101,4.3421,0.009,649.9298,3.1923,11.2244,0.0,0.0,0.0,0.227179,0.2,0.2,0.2,0.0,0.0,0.0
11,0.0504,2.4355,0.0052,145.3889,2.4732,10.0322,0.0,0.0,0.0,0.280616,0.2,0.2,0.2,0.0,0.0,0.0
12,0.0504,2.6528,0.0051,144.2516,2.5818,10.2916,0.0,0.0,0.0,0.272997,0.2,0.2,0.2,0.0,0.0,0.0
13,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.29066,0.2,0.2,0.2,0.0,0.0,0.0
14,0.1011,4.0613,0.0092,668.5993,2.9662,10.9497,0.0,0.0,0.0,0.243095,0.2,0.2,0.2,0.0,0.0,0.0
15,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.313973,0.2,0.2,0.2,0.0,0.0,0.0
16,0.101,4.4777,0.0089,639.6316,3.3055,11.3429,0.0,0.0,0.0,0.220678,0.2,0.2,0.2,0.0,0.0,0.0
17,0.0506,4.9866,0.0042,140.1782,6.4342,12.7356,0.0,0.0,0.0,0.209678,0.2,0.2,0.2,0.0,0.0,0.0
18,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.353605,0.2,0.2,0.2,0.0,0.0,0.0
19,0.0504,2.7151,0.005,143.9834,2.6168,10.3651,0.0,0.0,0.0,0.270152,0.2,0.2,0.2,0.0,0.0,0.0
20,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.298917,0.2,0.2,0.2,0.0,0.0,0.0
21,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.297558,0.2,0.2,0.2,0.0,0.0,0.0
22,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.315336,0.2,0.2,0.2,0.0,0.0,0.0
23,0.101,4.2462,0.009,656.582,3.1148,11.1354,0.0,0.0,0.0,0.232227,0.2,0.2,0.2,0.0,0.0,0.0
24,0.0507,4.1382,0.0045,144.3815,5.4985,11.7509,0.0,0.0,0.0,0.258435,0.2,0.2,0.2,0.0,0.0,0.0
25,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.359633,0.2,0.2,0.2,0.0,0.0,0.0
26,0.0507,4.079,0.0046,145.1261,5.4439,11.665,0.0,0.0,0.0,0.262683,0.2,0.2,0.2,0.0,0.0,0.0
27,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.313954,0.2,0.2,0.2,0.0,0.0,0.0
28,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.35823,0.2,0.2,0.2,0.0,0.0,0.0
29,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.295029,0.2,0.2,0.2,0.0,0.0,0.0
30,0.0507,4.218,0.0045,143.6142,5.5866,11.8576,0.0,0.0,0.0,0.252327,0.2,0.2,0.2,0.0,0.0,0.0
31,0.1012,3.9861,0.0092,672.6718,2.906,10.8643,0.0,0.0,0.0,0.247766,0.2,0.2,0.2,0.0,0.0,0.0
32,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.282271,0.2,0.2,0.2,0.0,0.0,0.0
33,0.1011,3.9737,0.0092,672.8878,2.8984,10.8509,0.0,0.0,0.0,0.24856,0.2,0.2,0.2,0.0,0.0,0.0
34,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.309059,0.2,0.2,0.2,0.0,0.0,0.0
35,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.361938,0.2,0.2,0.2,0.0,0.0,0.0
36,0.0504,2.7014,0.0051,144.0675,2.6107,10.3492,0.0,0.0,0.0,0.270826,0.2,0.2,0.2,0.0,0.0,0.0
37,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.329928,0.2,0.2,0.2,0.0,0.0,0.0
38,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.336242,0.2,0.2,0.2,0.0,0.0,0.0
39,0.0504,2.4808,0.0052,144.8842,2.4926,10.0724,0.0,0.0,0.0,0.279323,0.2,0.2,0.2,0.0,0.0,0.0
40,0.0506,4.9379,0.0042,140.3033,6.3792,12.6853,0.0,0.0,0.0,0.211546,0.2,0.2,0.2,0.0,0.0,0.0
41,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.314964,0.2,0.2,0.2,0.0,0.0,0.0
42,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.398474,0.2,0.2,0.2,0.0,0.0,0.0
43,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.320135,0.2,0.2,0.2,0.0,0.0,0.0
44,0.0397,415.407,0.0008,44.7039,300.8905,49.4409,0.0,0.0,0.0,0.38981,0.2,0.2,0.2,0.0,0.0,0.0
45,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.307889,0.2,0.2,0.2,0.0,0.0,0.0
46,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.299632,0.2,0.2,0.2,0.0,0.0,0.0
47,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.344857,0.2,0.2,0.2,0.0,0.0,0.0
48,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.378046,0.2,0.2,0.2,0.0,0.0,0.0
49,0.0859,37.158,0.0071,105.7197,21.6309,11.8604,0.0,0.0,0.0,0.382214,0.2,0.2,0.2,0.0,0.0,0.0
50,0.101,4.484,0.0089,639.3797,3.306,11.3414,0.0,0.0,0.0,0.220294,0.2,0.2,0.2,0.0,0.0,0.0
51,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.304553,0.2,0.2,0.2,0.0,0.0,0.0
52,0.0504,2.6969,0.0051,144.0422,2.608,10.3444,0.0,0.0,0.0,0.271045,0.2,0.2,0.2,0.0,0.0,0.0
53,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.322778,0.2,0.2,0.2,0.0,0.0,0.0
54,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.3381,0.2,0.2,0.2,0.0,0.0,0.0
55,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.328044,0.2,0.2,0.2,0.0,0.0,0.0
56,0.101,4.3736,0.0089,647.8156,3.2215,11.2608,0.0,0.0,0.0,0.225788,0.2,0.2,0.2,0.0,0.0,0.0
