,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.102,28.3956,0.0071,128.9375,24.0639,14.3082,0.0,-0.114934,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
1,0.1018,30.65,0.0072,115.0616,26.5282,14.1571,0.0,-0.137164,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
2,0.0506,5.4625,0.0041,139.2565,6.9647,13.0631,0.0,0.024509,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
3,0.2545,41.9849,0.0189,47.7875,60.9619,13.7396,0.0,-0.212711,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
4,0.0505,5.649,0.0041,139.0822,7.185,13.0673,0.0,-0.03493,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
5,0.0505,5.2691,0.0041,139.4423,6.757,13.0134,0.0,0.000763,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
6,0.1017,32.9877,0.0072,103.9594,29.0792,14.0692,0.0,-0.155729,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
7,0.0556,582.9853,0.0009,29.7865,659.2623,-63.9114,0.0,-0.478962,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
8,0.3501,55.5335,0.0266,113.7548,23.2953,13.4437,0.0,0.261554,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
9,0.3082,59.8611,0.0225,30.9148,96.837,13.9811,0.0,-0.227037,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
10,0.2079,73.47,0.0168,19.5838,129.0111,12.5796,0.0,0.272802,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
11,0.0505,5.8131,0.004,138.7414,7.3882,13.0839,0.0,-0.042379,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
12,0.3083,59.5205,0.0225,31.3568,96.9348,14.1187,0.0,0.223327,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
13,0.1019,28.984,0.0071,124.7884,24.7159,14.2528,0.0,0.121353,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
14,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.463171,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
15,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.468912,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
16,0.055,481.4352,0.0009,32.0965,563.0301,-59.2138,0.0,0.489051,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
17,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.43558,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
18,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.396118,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
19,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.446616,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
20,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.405655,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
21,0.2579,66.5276,0.0185,32.0795,97.481,14.3814,0.0,-0.216652,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
22,0.1555,80.9946,0.0133,18.9124,122.0703,11.9259,0.0,0.284711,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
23,0.0547,448.1144,0.0009,33.1822,524.5462,-57.2168,0.0,0.495118,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
24,0.0518,113.6552,0.0053,12.9319,133.0847,10.1631,0.0,-0.336646,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
25,0.1017,32.3619,0.0072,106.9165,28.4225,14.1165,0.0,-0.15067,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
26,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.454162,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
27,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,-0.434892,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
28,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.429877,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
29,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.421921,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
30,0.0505,5.3015,0.0041,139.4021,6.7913,13.0279,0.0,-0.010137,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
31,0.1013,13.3405,0.0077,255.0995,10.7049,13.1925,0.0,-0.104706,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
32,0.0505,5.2805,0.0041,139.4774,6.7685,13.0156,0.0,0.007045,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
33,0.0506,5.2797,0.0041,139.4757,6.7689,13.0165,0.0,-0.006377,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
34,0.2082,72.9323,0.0171,19.2626,125.0824,12.2282,0.0,0.279116,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
35,0.0505,5.3149,0.0041,139.4133,6.8077,13.0318,0.0,0.012734,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
36,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,-0.428786,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
37,0.1555,80.9074,0.0134,18.8078,121.4119,11.8505,0.0,-0.286165,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
38,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,-0.449169,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
39,0.0477,116.0855,0.0018,65.5864,106.5383,25.9624,0.0,0.357619,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
40,0.0549,463.1266,0.0009,32.5492,546.6152,-58.3757,0.0,0.492833,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
41,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.379708,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
42,0.0507,13.3942,0.0037,133.6368,18.9616,14.4624,0.0,0.0555,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
43,0.1555,80.8767,0.0134,18.7953,121.3309,11.8413,0.0,0.286338,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
44,0.0518,126.5756,0.0049,13.4278,150.093,11.0462,0.0,-0.320479,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
45,0.0505,5.9425,0.0041,138.693,7.5582,13.0638,0.0,-0.047763,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
46,0.0507,14.1528,0.0037,133.4107,19.8884,14.4433,0.0,0.070523,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
47,0.2021,26.431,0.0152,146.0565,18.8538,13.2611,0.0,0.178971,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
48,0.2063,100.7637,0.0177,43.5258,52.3355,11.8338,0.0,-0.293294,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
49,0.256,66.1377,0.02,78.5203,34.9989,13.2444,0.0,0.2672,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
50,0.0552,518.825,0.0009,31.2656,594.7946,-60.7899,0.0,0.483763,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
51,0.1018,31.087,0.0072,112.9909,26.9918,14.1495,0.0,-0.140558,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
52,0.1013,13.4022,0.0077,253.8316,10.7226,13.1652,0.0,0.105709,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
53,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,-0.466258,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
54,0.156,77.086,0.0149,16.6234,107.6389,10.368,0.0,-0.312428,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
55,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,-0.436408,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
56,0.1008,6.8249,0.0084,429.5089,5.4333,12.0009,0.0,-0.085607,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
57,0.0475,141.0619,0.0016,60.9628,126.3246,28.1033,0.0,0.365207,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
58,0.0505,5.8402,0.0041,138.9029,7.425,13.0823,0.0,-0.043607,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
59,0.3584,55.1797,0.027,20.7907,143.7452,13.9657,0.0,0.247434,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
60,0.1019,28.3432,0.0071,129.4306,23.9711,14.3078,0.0,0.11457,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
61,0.1017,32.6071,0.0072,105.7811,28.6762,14.1002,0.0,0.152599,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
62,0.1013,12.5651,0.0077,273.7,9.9087,13.136,0.0,-0.095086,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
63,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,-0.433705,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
64,0.2079,73.5317,0.0168,19.6221,129.5941,12.6287,0.0,0.271925,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
65,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,-0.419003,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
66,0.3082,60.1455,0.0227,30.0387,96.339,13.6817,0.0,-0.233447,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
