,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0428,2052.8538,0.0012,5.6371,1919.4775,-37.4611,-0.252937,0.057479,-0.04808,0.388678,0.285875,0.39491,0.24565410000000001,0.293171,0.090017,-0.335937
1,0.0409,263401.9684,0.0002,0.264,276790.7545,-224.2131,0.435967,-0.0603497,-0.03401,0.393845,0.3104352,0.373238,0.347099,-0.0824,0.0653367,0.305424
2,0.0474,124.1456,0.003,33.5486,102.7881,-15.3452,-0.36909305,0.497977,-0.30344625,0.29834,0.30084,0.21201,0.215555,-0.39605830000000003,0.140629,-0.22822884000000002
3,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.016197,-0.403636,-0.300947,0.350693,0.2973465,0.299526,0.277107,0.271743,0.343138,0.458687
4,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.09196950000000001,-0.17058843801518903,0.493494,0.210991,0.360903,0.23106267360000002,0.229237,-0.40746750000000004,0.04013772610870001,0.18595
5,0.1358,261.2235,0.0113,10.866,225.7538,-12.3591,0.147827,0.385764,0.441884,0.325538,0.281011,0.21785,0.376257,0.160941,0.007425,-0.099122
6,0.0974,8.7572,0.0098,140.8256,12.9456,10.4692,0.071044,0.128675,0.237274,0.202398,0.21001,0.258763,0.247688,0.103917,-0.012759,0.246943
7,0.0466,16272.3349,0.0004,2.7289,15077.2035,-128.4326,-0.40822259999999994,-0.13529994999999997,0.065742,0.268809,0.361424,0.22274740799999998,0.335177,-0.3909609,0.0264143,0.307693
8,0.0969,51.2404,0.0078,55.6314,43.6386,-12.283,0.115717,0.043201,0.198624,0.270595,0.242746,0.233704,0.259535,-0.48201,0.060983,0.012725
9,0.0,100000.0,0.0,0.0,100000.0,0.0,0.212922,-0.000499,-0.090866,0.290348,0.338206,0.294381,0.24673,0.246254,0.17101,0.18058
