Best: -0.44544453620910646 using {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 32}
-0.8414559125900268 (0.0793670125913234) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 8}
-0.7669689774513244 (0.09763980577148623) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 16}
-0.719918715953827 (0.04924644067376049) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 32}
-0.6150548577308654 (0.05161883764326353) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 64}
-0.5511996865272522 (0.02682530434872173) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 128}
-1.70917546749115 (0.3785302165525451) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 8}
-1.9472233772277832 (0.4664960567088844) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 16}
-1.3886776685714721 (0.45010890965047146) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 32}
-1.2231677651405335 (0.25813682336758337) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 64}
-1.1051914691925049 (0.2833991809738727) with: {'layers': 1, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 128}
-0.8491562604904175 (0.17797454225540502) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 8}
-0.6044774532318116 (0.0845758617073557) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 16}
-0.6386093258857727 (0.058924306347566235) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 32}
-0.6232868552207946 (0.07243813694871862) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 64}
-0.5255077242851257 (0.014046008742958213) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 128}
-1.3355743408203125 (0.26756424079735136) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 8}
-1.3339681386947633 (0.3608914885417058) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 16}
-1.1986249446868897 (0.318355549290868) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 32}
-1.112566351890564 (0.2935542939528819) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 64}
-1.053514587879181 (0.2801468288465496) with: {'layers': 1, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 128}
-0.6413697481155396 (0.04071325609086577) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 8}
-0.6307940602302551 (0.04258448613564246) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 16}
-0.5881447434425354 (0.018087479466173263) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 32}
-0.5255172371864318 (0.019822251359523008) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 64}
-0.49072389006614686 (0.012862759111447552) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 128}
-1.1054821848869323 (0.30443313258461563) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 8}
-1.0966703295707703 (0.2884371742152918) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 16}
-1.0562340140342712 (0.30786756534168325) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 32}
-1.024512529373169 (0.2922886433107213) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 64}
-1.008042562007904 (0.2892963567979469) with: {'layers': 1, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 128}
-0.5736982464790344 (0.03085072907397332) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 8}
-0.5336498260498047 (0.027402022468434976) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 16}
-0.4980606257915497 (0.010191361042853135) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 32}
-0.4863612294197083 (0.008354162481802832) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 64}
-0.46785013675689696 (0.00324264408275893) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 128}
-1.0311652541160583 (0.28971352681609497) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 8}
-1.024494194984436 (0.284579424640281) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 16}
-1.0129151463508606 (0.2989363646125019) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 32}
-0.9977841734886169 (0.2891192082333967) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 64}
-0.9833577275276184 (0.2911091857949035) with: {'layers': 1, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 128}
-0.4688366174697876 (0.00821401090871111) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 8}
-0.47547745108604433 (0.008847152364849193) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 16}
-0.4702286243438721 (0.0025036741466318772) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 32}
-0.46281548142433165 (0.003595365197885538) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 64}
-0.4580103099346161 (0.0027678449897728195) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 128}
-0.990229868888855 (0.2878716045390651) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 8}
-0.9856040239334106 (0.2917268966139863) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 16}
-0.9805203914642334 (0.2904056216542451) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 32}
-0.9718931555747986 (0.2930248517139653) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 64}
-0.9662575483322143 (0.2917255279667784) with: {'layers': 1, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 128}
-0.45020240545272827 (0.0027722488391572356) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 8}
-0.45123171210289004 (0.0035550695463614328) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 16}
-0.45430936813354494 (0.0024906408763948023) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 32}
-0.45281646251678465 (0.0023351139830646477) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 64}
-0.4513917028903961 (0.002517830913301094) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 128}
-0.9787719488143921 (0.29336007972630457) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 8}
-0.973171615600586 (0.2891489419047288) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 16}
-0.9671679377555847 (0.2919523240126819) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 32}
-0.9619901061058045 (0.2920438587324095) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 64}
-0.960345184803009 (0.2925677019115697) with: {'layers': 1, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 128}
-0.4456810116767883 (0.0027870835189182258) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 8}
-0.44568796157836915 (0.002306747953024684) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 16}
-0.4464781880378723 (0.0029156177868002) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 32}
-0.447159743309021 (0.0026845425118672637) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 64}
-0.4478732466697693 (0.0022756176058985763) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 128}
-0.9742691159248352 (0.2904640021897404) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 8}
-0.967708146572113 (0.2899960811009314) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 16}
-0.9629421710968018 (0.291996530092683) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 32}
-0.9586135864257812 (0.2913511774089575) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 64}
-0.9619248509407043 (0.28997268671817505) with: {'layers': 1, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 128}
-0.4465783178806305 (0.00245507540662275) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 8}
-0.4472793936729431 (0.0030122750014455577) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 16}
-0.44751105904579164 (0.002613531510970953) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 32}
-0.4490437924861908 (0.0038475143026813047) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 64}
-0.44827152490615846 (0.003102490784523562) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 128}
-0.9760275840759277 (0.2909522751890613) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 8}
-0.9697428703308105 (0.2933047966145063) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 16}
-0.9626750826835633 (0.29251711158217175) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 32}
