,r0,r1,r2,r3,s1,p1
0,0.1,0.1,0.1,0.1,-0.5,-0.5
1,0.1,0.1,0.1,0.1,-0.5,0.0
2,0.1,0.1,0.1,0.1,-0.5,0.5
3,0.1,0.1,0.1,0.1,0.0,-0.5
4,0.1,0.1,0.1,0.1,0.0,0.0
5,0.1,0.1,0.1,0.1,0.0,0.5
6,0.1,0.1,0.1,0.1,0.5,-0.5
7,0.1,0.1,0.1,0.1,0.5,0.0
8,0.1,0.1,0.1,0.1,0.5,0.5
9,0.1,0.1,0.1,0.2,-0.5,-0.5
10,0.1,0.1,0.1,0.2,-0.5,0.0
11,0.1,0.1,0.1,0.2,-0.5,0.5
12,0.1,0.1,0.1,0.2,0.0,-0.5
13,0.1,0.1,0.1,0.2,0.0,0.0
14,0.1,0.1,0.1,0.2,0.0,0.5
15,0.1,0.1,0.1,0.2,0.5,-0.5
16,0.1,0.1,0.1,0.2,0.5,0.0
17,0.1,0.1,0.1,0.2,0.5,0.5
18,0.1,0.1,0.1,0.3,-0.5,-0.5
19,0.1,0.1,0.1,0.3,-0.5,0.0
20,0.1,0.1,0.1,0.3,-0.5,0.5
21,0.1,0.1,0.1,0.3,0.0,-0.5
22,0.1,0.1,0.1,0.3,0.0,0.0
23,0.1,0.1,0.1,0.3,0.0,0.5
24,0.1,0.1,0.1,0.3,0.5,-0.5
25,0.1,0.1,0.1,0.3,0.5,0.0
26,0.1,0.1,0.1,0.3,0.5,0.5
27,0.1,0.1,0.1,0.4,-0.5,-0.5
28,0.1,0.1,0.1,0.4,-0.5,0.0
29,0.1,0.1,0.1,0.4,-0.5,0.5
30,0.1,0.1,0.1,0.4,0.0,-0.5
31,0.1,0.1,0.1,0.4,0.0,0.0
32,0.1,0.1,0.1,0.4,0.0,0.5
33,0.1,0.1,0.1,0.4,0.5,-0.5
34,0.1,0.1,0.1,0.4,0.5,0.0
35,0.1,0.1,0.1,0.4,0.5,0.5
36,0.1,0.1,0.1,0.5,-0.5,-0.5
37,0.1,0.1,0.1,0.5,-0.5,0.0
38,0.1,0.1,0.1,0.5,-0.5,0.5
39,0.1,0.1,0.1,0.5,0.0,-0.5
40,0.1,0.1,0.1,0.5,0.0,0.0
41,0.1,0.1,0.1,0.5,0.0,0.5
42,0.1,0.1,0.1,0.5,0.5,-0.5
43,0.1,0.1,0.1,0.5,0.5,0.0
44,0.1,0.1,0.1,0.5,0.5,0.5
45,0.1,0.1,0.2,0.1,-0.5,-0.5
46,0.1,0.1,0.2,0.1,-0.5,0.0
47,0.1,0.1,0.2,0.1,-0.5,0.5
48,0.1,0.1,0.2,0.1,0.0,-0.5
49,0.1,0.1,0.2,0.1,0.0,0.0
50,0.1,0.1,0.2,0.1,0.0,0.5
51,0.1,0.1,0.2,0.1,0.5,-0.5
52,0.1,0.1,0.2,0.1,0.5,0.0
53,0.1,0.1,0.2,0.1,0.5,0.5
54,0.1,0.1,0.2,0.2,-0.5,-0.5
55,0.1,0.1,0.2,0.2,-0.5,0.0
56,0.1,0.1,0.2,0.2,-0.5,0.5
57,0.1,0.1,0.2,0.2,0.0,-0.5
58,0.1,0.1,0.2,0.2,0.0,0.0
59,0.1,0.1,0.2,0.2,0.0,0.5
60,0.1,0.1,0.2,0.2,0.5,-0.5
61,0.1,0.1,0.2,0.2,0.5,0.0
62,0.1,0.1,0.2,0.2,0.5,0.5
63,0.1,0.1,0.2,0.3,-0.5,-0.5
64,0.1,0.1,0.2,0.3,-0.5,0.0
65,0.1,0.1,0.2,0.3,-0.5,0.5
66,0.1,0.1,0.2,0.3,0.0,-0.5
67,0.1,0.1,0.2,0.3,0.0,0.0
68,0.1,0.1,0.2,0.3,0.0,0.5
69,0.1,0.1,0.2,0.3,0.5,-0.5
70,0.1,0.1,0.2,0.3,0.5,0.0
71,0.1,0.1,0.2,0.3,0.5,0.5
72,0.1,0.1,0.2,0.4,-0.5,-0.5
73,0.1,0.1,0.2,0.4,-0.5,0.0
74,0.1,0.1,0.2,0.4,-0.5,0.5
75,0.1,0.1,0.2,0.4,0.0,-0.5
76,0.1,0.1,0.2,0.4,0.0,0.0
77,0.1,0.1,0.2,0.4,0.0,0.5
78,0.1,0.1,0.2,0.4,0.5,-0.5
79,0.1,0.1,0.2,0.4,0.5,0.0
80,0.1,0.1,0.2,0.4,0.5,0.5
81,0.1,0.1,0.2,0.5,-0.5,-0.5
82,0.1,0.1,0.2,0.5,-0.5,0.0
83,0.1,0.1,0.2,0.5,-0.5,0.5
84,0.1,0.1,0.2,0.5,0.0,-0.5
85,0.1,0.1,0.2,0.5,0.0,0.0
86,0.1,0.1,0.2,0.5,0.0,0.5
87,0.1,0.1,0.2,0.5,0.5,-0.5
88,0.1,0.1,0.2,0.5,0.5,0.0
89,0.1,0.1,0.2,0.5,0.5,0.5
90,0.1,0.1,0.3,0.1,-0.5,-0.5
91,0.1,0.1,0.3,0.1,-0.5,0.0
92,0.1,0.1,0.3,0.1,-0.5,0.5
93,0.1,0.1,0.3,0.1,0.0,-0.5
94,0.1,0.1,0.3,0.1,0.0,0.0
95,0.1,0.1,0.3,0.1,0.0,0.5
96,0.1,0.1,0.3,0.1,0.5,-0.5
97,0.1,0.1,0.3,0.1,0.5,0.0
98,0.1,0.1,0.3,0.1,0.5,0.5
99,0.1,0.1,0.3,0.2,-0.5,-0.5
100,0.1,0.1,0.3,0.2,-0.5,0.0
101,0.1,0.1,0.3,0.2,-0.5,0.5
102,0.1,0.1,0.3,0.2,0.0,-0.5
103,0.1,0.1,0.3,0.2,0.0,0.0
104,0.1,0.1,0.3,0.2,0.0,0.5
105,0.1,0.1,0.3,0.2,0.5,-0.5
106,0.1,0.1,0.3,0.2,0.5,0.0
107,0.1,0.1,0.3,0.2,0.5,0.5
108,0.1,0.1,0.3,0.3,-0.5,-0.5
109,0.1,0.1,0.3,0.3,-0.5,0.0
110,0.1,0.1,0.3,0.3,-0.5,0.5
111,0.1,0.1,0.3,0.3,0.0,-0.5
112,0.1,0.1,0.3,0.3,0.0,0.0
113,0.1,0.1,0.3,0.3,0.0,0.5
