,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.310901,-0.004089,-0.250796,0.280943,0.319481,0.337214,0.273496,0.476851,-0.058645,0.049236
1,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.30051,0.480095,-0.1686177,0.212538,0.2789235,0.30321990000000004,0.333187,-0.466318,-0.245744,-0.301374
2,0.1232,41046.5485,0.0008,1.4261,36131.1216,-159.5798,-0.425572,-0.39984681966874996,0.132453,0.321965,0.31143,0.2761578,0.390488,-0.176526,0.3791301591000001,0.319431
3,0.0,100000.0,0.0,0.0,100000.0,0.0,0.367975,-0.479584,-0.120897,0.276361,0.251211,0.264006,0.29467530000000003,0.001631,-0.183396,-0.3603906
4,0.093,1213.1515,0.0023,11.9634,1034.3339,-42.1225,-0.03282,-0.139703,0.196027,0.348636,0.380157,0.279794,0.272909,0.27843,0.413439,-0.197153
5,0.0964,249.6165,0.0052,30.226,143.6596,18.0268,-0.26931,0.488018,0.111637,0.2236,0.310581,0.314158,0.240184,-0.402513,0.422071,0.008947
6,0.0,100000.0,0.0,0.0,100000.0,0.0,0.348099,0.341385,-0.26312334783300007,0.33133,0.221429,0.219404,0.20720425320000002,-0.215023,-0.181393,-0.2473650593010001
7,0.1306,137.8719,0.0092,22.7861,135.5,-14.2626,-0.07438879999999999,0.8345673465635209,-0.248448,0.262873,0.351908,0.21649725360000005,0.330771,-0.3650238,-0.000721990219227522,0.157476
8,0.1437,192.4658,0.0136,8.6587,226.4635,10.8827,-0.313455,-0.365903,-0.1769391,0.233473,0.228016,0.399189,0.29614734000000004,-0.200733,0.058015,-0.36178289999999996
9,0.0,100000.0,0.0,0.0,100000.0,0.0,0.4124358,-0.296653,-0.15231,0.201434,0.357384,0.273866,0.32233,-0.19661620000000002,0.040017,-0.073621
10,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.1737246,0.055168,0.252143,0.344158,0.384379,0.228805,0.244739,0.14358960000000004,0.391427,0.14084
11,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.263051,-0.489935,0.310013,0.226622,0.248407,0.354195,0.240745,0.316052,0.365608,-0.22751
12,0.1338,106.396,0.0121,19.2398,106.6509,-11.1558,-0.267638,1.117790237451227,-0.093197,0.337436,0.240714,0.207346,0.395602,-0.194048,-0.00020106302074461013,0.199507
13,0.0,100000.0,0.0,0.0,100000.0,0.0,0.458711,0.7245974857756774,-0.437596,0.311566,0.361966,0.21789153900000002,0.334608,0.16237,-0.13823042947168415,0.062446
14,0.0,100000.0,0.0,0.0,100000.0,0.0,0.156578,-0.07378654418092008,0.221734,0.380289,0.397026,0.21217093020000002,0.227725,-0.134058,-0.070966522913553,0.282126
15,0.0,100000.0,0.0,0.0,100000.0,0.0,0.373325,-0.381713,0.349996,0.207888,0.2724219,0.339174,0.282156,-0.385859,0.213619,-0.339979
16,0.0438,15.3333,0.004,91.5845,21.1538,10.8121,-0.011925,0.306867,-0.146221,0.324332,0.29112299999999997,0.245382,0.284739,0.086672,0.267596,0.126326
17,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.45003589999999993,-0.011721,-0.102791,0.371344,0.391155,0.246086,0.203992,-0.30158460000000004,-0.130776,0.333545
18,0.1533,221.8932,0.0067,20.7587,291.8216,-23.1735,-0.484533,1.174150566969035,0.054422,0.226177,0.222899,0.22294868490000003,0.344419,0.46106,-0.03126027573494555,0.151152
19,0.0,100000.0,0.0,0.0,100000.0,0.0,0.00052155,0.48127,-0.0768204,0.396813,0.395452,0.218357,0.26770824000000004,0.1948265,0.320692,-0.25193753999999996
20,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.087193,0.10456906499999999,0.49414,0.372253,0.228615,0.21391047000000002,0.235799,-0.329925,0.15723345000000005,0.412989
21,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.066472,-0.317293,-0.297846,0.273903,0.282563,0.242609,0.28366,0.331416,-0.054938,0.034573
22,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.164343,-0.217205625,-0.219629,0.237108,0.244832,0.30613464,0.323297,0.055903,-0.26785809,0.190998
23,0.1663,155.4218,0.0175,12.2964,138.2945,10.1016,0.186754,0.00819,0.187894,0.317348,0.337022,0.308004,0.311405,0.304698,0.154412,-0.1236
24,0.0918,86.8108,0.0075,28.2715,83.1158,12.0494,-0.404731,-0.3076494939,-0.341225,0.323228,0.224417,0.3591,0.260584,-0.153732,-0.17412959610000003,0.238711
