,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.1378,95.6131,0.0094,31.7178,94.81,-14.0215,-0.190081,1.0872693134519125,-0.011556,0.274766,0.275908,0.225857,0.264693,-0.341112,0.16965834958607318,0.394158
1,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.10445056674999999,0.364414,-0.09644,0.314729,0.24976939680000002,0.334532,0.351805,0.27464652600000006,0.322532,-0.169501
2,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.262981,0.41255991000000003,-0.0159768,0.289306,0.223037,0.341451,0.341561,-0.237162,-0.39546387000000005,-0.44795789999999996
3,0.0,100000.0,0.0,0.0,100000.0,0.0,0.158074,0.028458,-0.186803,0.355576,0.258886,0.3045312,0.226915,0.113054,-0.232055,0.061074
4,0.0,100000.0,0.0,0.0,100000.0,0.0,0.281131,0.427641,0.219098,0.304265,0.266868,0.216176,0.388745,-0.294587,-0.329213,-0.237879
5,0.0983,124.1681,0.006,27.8427,130.7471,15.9211,-0.481413,-0.283336,-0.239644,0.302062,0.238784,0.29576745,0.256079,0.37087,-0.391191,0.482454
6,0.0,100000.0,0.0,0.0,100000.0,0.0,0.201309,0.421585,0.049582,0.265894,0.335868,0.217636,0.391596,0.490509,0.018071,-0.344542
7,0.1,392.5529,0.0044,18.1794,328.8399,-22.9343,-0.0784292355,0.14935,0.262816,0.270087,0.21422386710000005,0.3135,0.270333,0.13512045800000003,0.430037,-0.293729
8,0.0461,194.1563,0.0037,11.9146,207.968,-12.4335,0.7367065628474283,0.040712,0.455736,0.200817,0.21112893000000005,0.344729,0.25413,-0.9616718170638706,0.414501,-0.046947
9,0.0426,2792.3795,0.0014,3.5252,2317.2845,-29.5067,0.405411,0.458768,0.453959,0.266886,0.316652,0.293514,0.396165,0.113869,-0.1811,-0.334311
10,0.0845,2181.6255,0.0016,5.6617,2958.3347,-55.2474,-0.43888574999999996,-0.02693,0.131867,0.384044,0.362348,0.355875,0.301713,-0.27286560000000004,-0.359208,-0.207771
