,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.025516,0.013922,0.085808,0.277655,0.270361,0.207444,0.213743,-0.378744,0.012522,0.411029
1,0.0451,1218.1793,0.0015,6.4315,1287.2804,29.8373,-0.280143,-0.026597,0.300014,0.293248,0.328517,0.298628,0.330691,0.031926,-0.125363,-0.11294
2,0.0458,120.1449,0.002,51.5005,111.0552,22.1582,0.383219,-0.115548,-0.299229,0.206349,0.239631,0.320041,0.226955,0.101995,0.00504,0.04288
3,0.0441,26.735,0.0044,55.3013,32.5565,10.4013,-0.213972,0.009060996250546013,0.257744,0.346379,0.389536,0.21510251622,0.296227,0.00387,0.10821693748404007,0.407901
4,0.2391,31.8069,0.0236,50.8157,34.3862,10.2421,-0.49002,1.2359326040333236,-0.137557,0.212252,0.200393,0.22759256069999997,0.348531,0.064415,-0.04349854651599603,0.379548
5,0.0881,1354.5886,0.0087,1.2777,1331.6813,-10.1047,-0.003169792267630014,0.469841,0.144345,0.318195,0.21974611500000002,0.290975,0.361152,-0.9764593294388276,0.368529,0.161806
6,0.1029,51.67,0.0094,40.3039,51.7252,-11.2542,0.360567,-0.388917,-0.478936,0.236815,0.214582,0.200276,0.247125,0.013391,-0.449606,0.099055
7,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.474774,1.0824956546677547,-0.103428,0.303725,0.310359,0.22297113,0.208055,0.146543,-0.03174093876500175,0.416866
8,0.1423,461.2091,0.0113,6.7243,393.9722,-12.9476,-0.235125,-0.479164,-0.479387,0.218281,0.355454,0.38348,0.239054,0.437368,0.232569,0.349252
9,0.233,94.9365,0.0138,51.9402,76.0524,16.8505,-0.468614,-0.26434361452447414,-0.139253,0.272124,0.235173,0.207027981,0.342887,0.089751,0.11581114552938176,0.499178
10,0.0861,259.886,0.0047,20.2558,226.0113,-18.7341,0.005687,0.452577,0.348726,0.283962,0.356011,0.293994,0.398336,0.290791,-0.401297,-0.408215
11,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.344829,-0.179256,-0.375141,0.393974,0.261954,0.236213,0.245528,0.163529,-0.012197,0.078741
12,0.0426,250.4064,0.0044,6.0506,287.1419,10.2122,-0.047625,-0.035382,0.224507,0.334708,0.317608,0.291561,0.399028,0.281318,0.408484,0.067906
13,0.1431,87.4118,0.0138,15.9742,112.4264,10.3878,-0.19407049662610013,-0.372666,0.412714,0.263035,0.21196843149600003,0.399721,0.271676,-0.9547755338827697,0.324227,-0.213306
14,0.1851,162.7944,0.018,13.9529,138.1097,-10.7811,-0.046423,0.072972,0.311433,0.346732,0.334308,0.23147694,0.322827,0.486057,-0.367765,-0.131958
15,0.0,100000.0,0.0,0.0,100000.0,0.0,0.228587,1.7274636660387892,0.317358,0.316413,0.205944,0.22773960000000004,0.39247,0.163725,-0.007556970843896714,0.383136
16,0.1736,19.866,0.0179,125.3758,13.7035,10.1543,0.49467521250000007,-0.191001,-0.241155,0.38349,0.2797569,0.269386,0.334692,0.25328809,0.30759,0.480049
17,0.1362,72.6646,0.0119,30.1558,72.0096,-11.5145,0.5428382844150001,-0.16306417925390776,-0.045551,0.298562,0.21475349999999999,0.2239488,0.318945,-0.19636922097000004,-0.03643466544843337,0.40076
18,0.0,100000.0,0.0,0.0,100000.0,0.0,0.380351,-8.919374131145824e-19,0.439436,0.335047,0.352331,0.22574629530000004,0.206892,0.345137,-1.1244844573216874e-37,0.441235
19,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.10914150165855269,0.126051,0.053694,0.375732,0.20941859070000005,0.255995,0.338937,-0.7321127211879159,0.351198,-0.017197
20,0.0987,59.8584,0.0068,44.6852,69.3605,14.2982,0.060108,-0.316616,-0.324302,0.306467,0.234055,0.253056,0.294468,-0.101221,-0.079999,-0.01785
21,0.044,475.6346,0.0014,18.5804,459.815,-30.6306,0.129373,-0.475888,0.238908,0.25244,0.218456,0.345352,0.336565,0.176193,-0.14504,-0.460006
22,0.088,205.2723,0.0084,8.9821,199.8937,-10.3864,0.19381,-0.06795408568163416,-0.254089,0.252371,0.365744,0.31425245999999996,0.322202,-0.27005,-0.20542627055457002,-0.02179
