,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.1451,37.897,0.0134,32.8355,64.572,11.3608,0.48764331537532757,-0.364533,-0.329963,0.3,0.21870000000000003,0.3,0.3,0.04492962145760002,0.149325,0.441558
1,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.472702,-0.026965,0.199988,0.3,0.3,0.3,0.3,0.276671,-0.396294,-0.247778
2,0.0969,2418.2989,0.0024,5.3406,2161.4812,-39.6309,0.472385,0.032353,-0.321822,0.3,0.3,0.3,0.3,0.381101,-0.014274,0.049002
3,0.0888,117.5503,0.0063,24.6735,132.0909,14.7774,0.469592,-0.439287,-0.2074273272,0.3,0.3,0.3,0.21870000000000003,-0.235472,-0.432894,-0.29202033411000006
4,0.0412,122.6842,0.0021,51.5131,93.967,19.5216,0.340186,0.101877,-0.017377,0.3,0.3,0.3,0.3,0.293214,0.265652,0.235292
5,0.0,100000.0,0.0,0.0,100000.0,0.0,0.027963,-1.1122355987156854e-19,0.401601,0.3,0.3,0.21870000000000003,0.3,-0.181098,-9.32315329642045e-38,0.308068
6,0.0935,1049.8553,0.0018,23.9826,676.8549,-53.6983,0.183001,0.28931,0.478578,0.3,0.3,0.3,0.3,-0.464783,-0.233863,-0.25659
7,0.2305,267.4191,0.0132,19.5096,217.5726,17.7343,0.203881,0.092902,-0.035314,0.3,0.3,0.27,0.3,0.045687,0.054646,0.383748
8,0.0511,9818.146,0.0005,3.6861,9259.4037,-107.3936,-0.246103,-0.173492,0.36131,0.3,0.3,0.3,0.3,-0.045667,-0.046053,-0.357785
9,0.2738,2800.5944,0.0048,3.4528,5126.8695,58.106,-0.117321,0.124567,0.0877,0.3,0.3,0.3,0.3,0.050892,-0.00852,0.181723
10,0.0488,4760.9052,0.0008,4.1367,4406.8457,-59.6889,0.027490849002777727,0.431168,0.091498,0.3,0.21870000000000003,0.3,0.3,-0.18900850944549605,-0.039048,-0.447189
11,0.0838,961.9572,0.0021,8.4854,1380.2733,40.1365,0.009152,-0.250722,-0.10006821,0.3,0.3,0.3,0.3,-0.265583,-0.347286,-0.34788852000000003
