,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,-9.3e-05,0.000966,0.000725,0.238524,0.237101,0.381538,0.200465,0.092345,-0.099325,0.055121
1,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.000818,-0.000263,0.000356,0.205916,0.214967,0.38332,0.203223,0.139276,-0.023283,0.039172
2,0.1393,582.6664,0.0039,15.5675,641.4273,-34.9562,-0.000278,0.000307,0.000535,0.214169,0.205075,0.388882,0.207116,0.146997,-0.023559,-0.087928
3,0.0989,5818.2113,0.0006,13.819,3677.3222,-157.4503,-0.000891,-0.000868,0.000483,0.258549,0.204257,0.388308,0.200487,-0.004009,-0.017343,-0.09012
4,0.1944,5784.4174,0.0009,9.4911,7354.187,-214.3982,-0.000693,0.000614,-0.000194,0.219934,0.208485,0.38883,0.207164,-0.023268,0.014964,-0.017861
5,0.1487,864.8673,0.0025,31.4956,592.2191,60.9569,-0.00075,0.000263,-0.000143,0.216882,0.218276,0.380616,0.218322,-0.014462,-0.053429,0.021903
6,0.0453,645.4032,0.0012,18.7275,641.8942,-41.0632,-0.000272,4.7e-05,-0.000652,0.231098,0.205576,0.384435,0.212922,0.175071,0.094713,0.031003
7,0.0,100000.0,0.0,0.0,100000.0,0.0,0.000856,-0.00085,0.000571,0.223802,0.241872,0.388639,0.218894,0.131623,-0.005112,0.056745
8,0.0468,17662.5424,0.0004,2.6529,15431.5193,-127.8131,-0.000204,0.000308,0.000531,0.246926,0.232241,0.383201,0.208991,0.138844,-0.076683,-0.035921
9,0.0985,176.0594,0.006,21.4849,176.1485,16.3536,0.000646,-0.000356,-0.000949,0.252519,0.200774,0.382503,0.209673,-0.115085,-0.094191,0.047759
10,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.00028,0.000852,6e-06,0.256442,0.244979,0.38993,0.203234,-0.025853,-0.058883,-0.077886
11,0.0,100000.0,0.0,0.0,100000.0,0.0,0.000579,-7.6e-05,-0.000238,0.214979,0.227695,0.380759,0.204799,-0.082013,0.067872,0.057734
12,0.1925,2480.3904,0.0018,9.1483,3930.7143,112.878,-0.000254,-0.000543,0.000228,0.216045,0.228204,0.389134,0.201268,-0.009189,-0.068382,-0.012311
13,0.0516,28644.4663,0.0001,5.1542,28999.2113,453.4041,0.000807,5.4e-05,0.000211,0.25742,0.235296,0.380517,0.201049,-0.134897,0.066585,-0.03534
14,0.048,1735.0047,0.0005,18.1032,1716.6342,98.2299,-0.000709,6.1e-05,-0.000808,0.248883,0.241461,0.380345,0.205,-0.104231,0.073584,0.094382
15,0.1438,555.2956,0.0033,28.105,450.2535,-42.9631,-0.000628,-0.00016,0.000959,0.213737,0.235247,0.380059,0.206206,0.009756,0.040054,-0.048878
16,0.1953,898.8576,0.0036,10.3024,1651.3248,-56.0381,-0.000339,0.000557,-2e-05,0.208844,0.219418,0.38021,0.200791,0.022072,0.014714,-0.036234
17,0.0501,6317.8362,0.0002,9.9543,6852.1634,-209.6247,0.000445,3.9e-05,-0.00031,0.234797,0.237383,0.382743,0.213214,-0.094584,0.027704,-0.090726
18,0.051,387.5754,0.0015,28.3964,350.0355,-34.8192,-0.00098,-7.6e-05,-0.00049,0.220144,0.202752,0.389442,0.215433,-0.150468,-0.020095,0.047328
19,0.0981,451.6894,0.0025,36.5878,302.2072,38.1713,-0.000464,0.000563,-0.000734,0.231024,0.239758,0.389152,0.200798,-0.165791,-0.04916,-0.082177
20,0.0913,551.1597,0.0036,14.0271,526.581,-27.1592,0.000694,-0.000149,-0.000849,0.255027,0.216527,0.384321,0.204218,0.149238,0.080711,0.084701
21,0.0486,2756.3149,0.0004,14.6146,2776.3986,126.7279,0.000476,-0.000417,-0.000664,0.213197,0.22391,0.389708,0.202297,-0.111046,0.051957,0.064145
22,0.0,100000.0,0.0,0.0,100000.0,0.0,0.00097,-0.000565,-0.000951,0.215405,0.206224,0.385799,0.207156,0.183264,-0.035716,0.037993
23,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.000173,-0.000894,-0.000772,0.226937,0.215967,0.38234,0.20102,-0.166918,0.055229,-0.038943
24,0.1447,1024.2147,0.0024,30.5021,648.3971,-64.3324,-0.0006,0.000103,-0.000647,0.257067,0.204844,0.388954,0.211032,0.065629,0.000754,-0.085198
25,0.049,188.5722,0.0021,40.2661,144.0514,22.4012,0.000108,0.000668,0.000953,0.257893,0.209036,0.387899,0.215797,-0.098161,-0.047747,0.012451
26,0.1428,308.5196,0.0054,39.2034,188.8419,-27.2097,-0.000942,-0.000506,0.000919,0.238139,0.215224,0.389029,0.203353,0.067431,0.069269,-0.093779
27,0.0464,6275.2388,0.0002,10.5919,6738.8198,-219.1303,-0.000165,0.000763,0.000879,0.228036,0.239308,0.385875,0.202883,-0.099685,0.037295,-0.093647
28,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.000483,0.000904,0.000403,0.206129,0.228103,0.384181,0.206481,0.117882,0.033452,-0.082167
29,0.0,100000.0,0.0,0.0,100000.0,0.0,0.000429,-0.000556,0.000876,0.214645,0.219032,0.383221,0.219583,0.086125,0.090991,0.029137
30,0.093,2121.7731,0.0008,16.7782,1961.4927,103.7309,-0.000383,0.000869,-0.000616,0.204354,0.243513,0.382298,0.215698,-0.120149,0.038761,0.064448
31,0.0479,260.3639,0.0013,41.4506,234.6659,-34.1812,0.000301,-0.000834,-0.00041,0.253313,0.236718,0.384173,0.216705,-0.099607,0.095597,-0.059525
32,0.0463,12126.0834,0.0005,2.7135,9706.4361,-84.0165,-0.000956,-0.0008,0.000355,0.22192,0.222283,0.386963,0.202584,0.186678,-0.098247,0.048372
33,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.000757,-0.000583,-0.000102,0.206383,0.21592,0.383007,0.218936,0.131762,-0.047522,-0.061669
34,0.1936,385.623,0.0048,32.1596,363.2706,40.0479,0.000646,-0.000719,0.000144,0.23179,0.232968,0.38164,0.202206,-0.008759,-0.092067,0.059885
35,0.0521,699.5657,0.0011,23.0018,616.6683,-47.5534,0.000639,0.000914,-0.000391,0.225076,0.231706,0.382128,0.211352,-0.185761,-0.049132,0.009623
36,0.0923,3766.2832,0.0015,6.1515,3133.2018,-62.8218,0.000494,-0.000368,0.000121,0.249489,0.241854,0.380024,0.212613,0.138348,-0.02811,-0.003641
37,0.0494,141.6606,0.0026,37.3528,125.2321,-19.0333,0.000857,-0.000499,8.9e-05,0.235708,0.212929,0.386702,0.211138,-0.189662,0.015187,0.019822
