,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.015305,-0.07176882225685076,0.050144,0.3,0.3,0.21870000000000003,0.3,0.239639,-0.17865776276010004,0.320108
1,0.23,128.103,0.0171,19.1057,145.5471,13.3423,0.6448295186199615,-0.24931,0.387671,0.3,0.21870000000000003,0.3,0.3,-0.9603042074030905,0.422339,0.263475
2,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.310053,0.226713,-0.08304695100000001,0.3,0.3,0.3,0.3,0.42325,0.264642,-0.335948715
3,0.1405,22.5291,0.0122,84.6616,26.2771,-11.674,1.0733784527925356,-0.250229,0.310969,0.3,0.21870000000000003,0.3,0.3,-0.5651052864933868,0.32621,0.200943
4,0.0,100000.0,0.0,0.0,100000.0,0.0,0.196705,0.465948,0.447056,0.3,0.3,0.3,0.3,0.198792,-0.083353,0.098357
5,0.0478,2400.9251,0.0011,5.4913,2347.1329,43.6666,-0.107799,0.47527095,-0.314216,0.3,0.3,0.24300000000000002,0.3,0.437002,-0.1414854,-0.096621
6,0.047,55.0444,0.0026,87.1218,47.8559,-17.5079,0.0384065198306911,0.208843,-0.148011,0.3,0.21870000000000003,0.3,0.3,-0.6885426546855269,0.379675,0.478667
7,0.0991,1575.0256,0.0023,9.2914,1353.7409,42.7343,-0.063728,0.065288,-0.088463,0.3,0.3,0.3,0.27,0.300893,-0.483015,-0.417681
8,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.279602,0.414584,0.433819,0.3,0.3,0.3,0.3,0.320709,-0.216949,-0.492532
9,0.1311,124.1021,0.0129,13.9263,128.5297,-10.3698,-0.327478,0.390783,0.385503,0.3,0.3,0.3,0.3,-0.232924,-0.327539,-0.169707
10,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.226473,-0.04299961249999999,0.094427,0.3,0.3,0.21870000000000003,0.3,-0.019206,-0.40445406,0.040002
11,0.0449,165.7197,0.0027,25.0016,166.1584,-17.4627,0.5405211642884536,0.086807,0.227302,0.3,0.21870000000000003,0.3,0.3,-0.8791629401781605,0.457955,-0.424158
12,0.2877,122.4191,0.0267,12.6399,155.1387,10.8828,0.018839,-0.07906712392264749,0.260493,0.3,0.3,0.21870000000000003,0.3,-0.110103,0.12206773705128397,0.321777
13,0.1358,76.5614,0.0118,28.3628,77.3848,-11.5846,0.068736,0.392756,-0.211906,0.3,0.3,0.3,0.27,-0.136932,-0.234021,-0.252304
14,0.0941,269.7191,0.0054,18.6927,217.2982,-17.1857,0.066952,0.4981577727764533,-0.289901,0.3,0.3,0.21870000000000003,0.3,0.378378,0.4142033627270002,0.480664
15,0.0431,54.2556,0.004,33.5287,55.3295,10.5654,-0.098885,-0.163462,0.39902,0.3,0.3,0.3,0.3,0.254663,-0.122574,-0.485067
16,0.0485,273.4963,0.0025,19.2404,267.4303,-20.4364,-0.138061,0.03131675,0.49941,0.3,0.3,0.24300000000000002,0.3,0.258729,-0.43956629999999997,-0.357566
17,0.0891,73.1963,0.0057,48.8039,70.9945,-15.3944,0.454356,0.285495,-0.050494,0.3,0.3,0.3,0.3,-0.482811,-0.42125,-0.393708
18,0.1483,213.9753,0.0095,26.608,137.7788,-15.9981,0.8863323189384222,-0.376733,-0.181964,0.3,0.21870000000000003,0.3,0.3,-0.8509096293581387,0.154281,0.10862
19,0.0898,87.3868,0.006,38.2377,83.3562,-14.562,-0.10334463445062499,0.248989,0.096571,0.3,0.21870000000000003,0.3,0.3,-0.7892368675400003,0.464831,0.396794
20,0.1434,505.9864,0.0062,9.4896,633.0513,23.0223,0.062345737874999994,0.5056369500000001,-0.412912,0.3,0.24300000000000002,0.27,0.3,-0.27620424900000007,-0.1346067,-0.064985
21,0.0898,65.2435,0.0075,30.2807,75.8066,11.8864,-0.152895,-0.35265615,0.194152,0.3,0.3,0.3,0.3,0.247252,0.4255339,0.420839
22,0.0433,355.1796,0.0019,15.5853,379.6214,-22.7496,-0.379577,0.205181,0.28032,0.3,0.3,0.3,0.3,0.066856,-0.121135,-0.368596
23,0.1432,41.1393,0.0101,72.8715,41.5146,-14.0757,-0.14162557360332234,0.304874,-0.024887,0.3,0.21870000000000003,0.3,0.3,-1.0029201246769839,0.267113,-0.008551
24,0.1379,61.1105,0.0116,37.1509,61.0005,-11.7987,0.060752,0.076258,-0.252301,0.3,0.3,0.3,0.3,-0.390822,-0.09909,-0.168141
25,0.1474,102.6563,0.015,12.9538,134.8091,10.2389,0.483397,0.709887893228605,-0.466915,0.3,0.3,0.21870000000000003,0.3,0.478651,-7.112314630786856e-06,0.301
26,0.047,36.6389,0.0032,89.8451,38.492,-15.375,0.009428202809537684,0.293024,0.039467,0.3,0.21870000000000003,0.3,0.3,-1.0606255930561095,0.102682,-0.262712
27,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.44948,-0.21885624999999997,0.367525,0.3,0.3,0.27,0.3,-0.131589,-0.3295521,-0.293982
28,0.146,216.3285,0.0145,12.4241,136.2183,-10.0772,-0.01774,-0.0411075520631417,0.359738,0.3,0.3,0.21870000000000003,0.3,-0.105867,0.3266079261700462,0.485229
