,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.48536985,-0.274211,0.352882,0.219125,0.215443,0.307155,0.302395,0.25955930000000005,0.377654,0.173452
1,0.1792,258.334,0.0125,10.6179,281.6266,-13.9708,0.413257,-0.004905,0.053909,0.242403,0.27204930000000005,0.398971,0.315113,-0.34659,0.158642,-0.078991
2,0.2132,355.6417,0.0107,18.6774,261.378,-19.6456,-0.044605,-0.420908,0.435455,0.35671,0.27312840000000005,0.306134,0.323583,0.097998,0.206946,0.01866
3,0.0,100000.0,0.0,0.0,100000.0,0.0,0.151094,-0.044173,0.389571,0.294853,0.24621,0.24663,0.219933,-0.004241,0.206648,0.167826
4,0.1862,479.2443,0.0124,4.6523,718.2829,15.0249,0.2298513,0.043374,0.373835,0.317149,0.291078,0.326439,0.243773,-0.40937670000000004,-0.1635,-0.344761
5,0.0472,2032.9321,0.0016,3.6815,2261.2493,29.9741,0.4742,0.075482,0.137883,0.251726,0.26666,0.204855,0.32371,0.019969,0.119677,0.055879
6,0.0449,320.4126,0.0044,5.8396,287.4037,-10.035,-0.396146,-0.031778,0.412955,0.210779,0.2554056,0.31764060000000005,0.315103,-0.251244,0.025311,0.032835
7,0.1305,38.335,0.0118,52.7333,36.0725,-10.7067,-0.343006,-0.14698385749999998,-0.091317,0.286908,0.3485664,0.25978401,0.295146,-0.449912,-0.20038752,0.334985
8,0.0,100000.0,0.0,0.0,100000.0,0.0,0.426169,0.16076,-0.2069332839,0.323825,0.304548,0.239398,0.35546490000000003,0.195539,0.115216,-0.0996392826
9,0.1753,339.1905,0.0098,11.1662,393.4939,18.1815,0.378915,0.257756,-0.471167,0.316399,0.392331,0.342536,0.257515,0.44844,0.416628,0.159377
