,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.346626,0.2,0.2,0.0,0.0,0.0
1,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.326176,0.2,0.2,0.0,0.0,0.0
2,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.222004,0.2,0.2,0.0,0.0,0.0
3,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.238905,0.2,0.2,0.0,0.0,0.0
4,0.05,649.6249,0.0021,9.511,707.2489,25.1798,0.0,0.0,0.0,0.2,0.334105,0.2,0.2,0.0,0.0,0.0
5,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.244517,0.2,0.2,0.0,0.0,0.0
6,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.374771,0.2,0.2,0.0,0.0,0.0
7,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.378978,0.2,0.2,0.0,0.0,0.0
8,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.247685,0.2,0.2,0.0,0.0,0.0
9,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.295353,0.2,0.2,0.0,0.0,0.0
10,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.243992,0.2,0.2,0.0,0.0,0.0
11,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.302549,0.2,0.2,0.0,0.0,0.0
12,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.270869,0.2,0.2,0.0,0.0,0.0
13,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.347853,0.2,0.2,0.0,0.0,0.0
14,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.212898,0.2,0.2,0.0,0.0,0.0
15,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.386597,0.2,0.2,0.0,0.0,0.0
16,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.261746,0.2,0.2,0.0,0.0,0.0
17,0.0514,374.8334,0.0025,15.1342,355.9943,21.1631,0.0,0.0,0.0,0.2,0.340381,0.2,0.2,0.0,0.0,0.0
18,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.348417,0.2,0.2,0.0,0.0,0.0
19,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.312496,0.2,0.2,0.0,0.0,0.0
20,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.263301,0.2,0.2,0.0,0.0,0.0
21,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.266438,0.2,0.2,0.0,0.0,0.0
22,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.227356,0.2,0.2,0.0,0.0,0.0
23,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.233678,0.2,0.2,0.0,0.0,0.0
24,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.355983,0.2,0.2,0.0,0.0,0.0
25,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.209896,0.2,0.2,0.0,0.0,0.0
26,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.379164,0.2,0.2,0.0,0.0,0.0
27,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.397264,0.2,0.2,0.0,0.0,0.0
28,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.329084,0.2,0.2,0.0,0.0,0.0
29,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.212584,0.2,0.2,0.0,0.0,0.0
30,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.284849,0.2,0.2,0.0,0.0,0.0
31,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.398816,0.2,0.2,0.0,0.0,0.0
32,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.368962,0.2,0.2,0.0,0.0,0.0
33,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.389915,0.2,0.2,0.0,0.0,0.0
34,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.398313,0.2,0.2,0.0,0.0,0.0
35,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.382684,0.2,0.2,0.0,0.0,0.0
36,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.392039,0.2,0.2,0.0,0.0,0.0
37,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.212358,0.2,0.2,0.0,0.0,0.0
38,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.31881,0.2,0.2,0.0,0.0,0.0
39,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.280825,0.2,0.2,0.0,0.0,0.0
40,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.383631,0.2,0.2,0.0,0.0,0.0
41,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.207379,0.2,0.2,0.0,0.0,0.0
42,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.385742,0.2,0.2,0.0,0.0,0.0
43,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.225629,0.2,0.2,0.0,0.0,0.0
44,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.282651,0.2,0.2,0.0,0.0,0.0
45,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.2,0.253478,0.2,0.2,0.0,0.0,0.0
