,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.302226,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
1,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.414873,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
2,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.20328,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
3,0.0,100000.0,0.0,0.0,100000.0,0.0,0.42535,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
4,0.0506,6.0182,0.0041,139.0752,7.7046,13.1008,0.04826,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
5,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.249893,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
6,0.0505,12.2363,0.0038,135.4416,14.9531,14.0264,-0.137508,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
7,0.0,100000.0,0.0,0.0,100000.0,0.0,0.352652,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
8,0.0506,1512.7984,0.001,8.4254,1851.3338,51.7945,0.480427,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
9,0.0505,6.4441,0.004,138.7852,8.1444,13.1902,-0.060361,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
10,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.440051,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
11,0.0505,13.7514,0.0037,134.5631,16.8362,14.2448,-0.151539,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
12,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.385033,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
13,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.414963,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
14,0.0506,6.4552,0.004,138.6681,8.1487,13.1911,0.060465,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
15,0.0,100000.0,0.0,0.0,100000.0,0.0,0.262989,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
16,0.0,100000.0,0.0,0.0,100000.0,0.0,0.398053,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
17,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.401455,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
18,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.448899,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
19,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.346394,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
20,0.0505,5.6961,0.0041,139.2403,7.3966,13.0337,-0.035735,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
21,0.0506,5.3402,0.0041,139.434,6.8926,12.9998,0.013426,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
22,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.309729,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
23,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.357642,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
24,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.166158,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
25,0.0,100000.0,0.0,0.0,100000.0,0.0,0.213697,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
26,0.0506,1514.774,0.001,8.418,1854.0582,51.8225,-0.480618,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
27,0.0505,12.0267,0.0038,135.6594,14.6872,13.9948,-0.135322,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
28,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.246037,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
29,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.273768,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
30,0.0,100000.0,0.0,0.0,100000.0,0.0,0.371131,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
31,0.0,100000.0,0.0,0.0,100000.0,0.0,0.213427,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
32,0.0507,1612.9922,0.001,8.0697,1967.8231,52.6394,0.493342,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
33,0.0,100000.0,0.0,0.0,100000.0,0.0,0.194209,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
34,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.32185,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
35,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.450312,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
36,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.204754,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
37,0.0,100000.0,0.0,0.0,100000.0,0.0,-0.298277,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
38,0.0506,5.3239,0.0041,139.5613,6.8689,13.0029,0.012235,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
